epoch,acc,loss
0,0.8269974226804123,3.6629095530798554e-05
1,0.8189432989690721,2.5514636193002308e-05
2,0.8289304123711341,2.4087010647048203e-05
3,0.8366623711340206,2.2867106311882847e-05
4,0.8266752577319587,2.064585505743792e-05
5,0.8418170103092784,1.9423060734879982e-05
6,0.8308634020618557,1.8786766077028005e-05
7,0.8369845360824743,1.738923880608483e-05
8,0.8431056701030928,1.9269787459314702e-05
9,0.8472938144329897,1.72111008197069e-05
10,0.8385953608247423,1.8431684153612652e-05
11,0.8321520618556701,1.593027372292482e-05
12,0.8366623711340206,1.52287975277094e-05
13,0.8373067010309279,1.6828116794310997e-05
14,0.8250644329896907,1.505922494853743e-05
15,0.8295747422680413,1.4387833104039376e-05
16,0.8189432989690721,1.3690474912136873e-05
17,0.8298969072164949,1.4083026650679158e-05
18,0.8279639175257731,1.300729743094315e-05
19,0.8337628865979382,1.269734063507994e-05
20,0.8211984536082474,1.2604834349653193e-05
21,0.8170103092783505,1.1061715071329822e-05
22,0.8240979381443299,1.1896413191363499e-05
23,0.8360180412371134,1.0910266525181364e-05
24,0.8253865979381443,1.062994436889434e-05
25,0.8318298969072165,1.0718110403788684e-05
26,0.8311855670103093,1.007876114410521e-05
27,0.8340850515463918,9.78321430787303e-06
28,0.8376288659793815,9.098901027778787e-06
29,0.8244201030927835,1.0179563265907192e-05
30,0.8247422680412371,9.646305698227939e-06
31,0.8324742268041238,9.807093985526399e-06
32,0.8099226804123711,9.286628813608387e-06
33,0.8240979381443299,8.103554198582642e-06
34,0.8234536082474226,8.681804879368841e-06
35,0.8382731958762887,8.653831045681801e-06
36,0.84375,8.427233626310591e-06
37,0.8298969072164949,8.309908177472102e-06
38,0.821520618556701,8.066538480037351e-06
39,0.8514819587628866,8.197076390763296e-06
40,0.8189432989690721,8.635545659976789e-06
41,0.851159793814433,8.00058588777471e-06
42,0.8302190721649485,8.268118954009006e-06
43,0.8353737113402062,8.025334503229518e-06
44,0.8463273195876289,7.252656189393747e-06
45,0.8482603092783505,7.2533115207613835e-06
46,0.8298969072164949,7.757113716013113e-06
47,0.8360180412371134,7.593358215142439e-06
